query_id,query,gold_ans,pred,f1,fail_class,bridge_complete,gold_in_selected,gold_text_in_sel
hotpot_5abf63f15542997ec76fd3ea,Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of,October 1922,1923,0.0,G1_confabulation,True,True,True
hotpot_5a7555215542996c70cfaee1,"Which came to market first, ""Hey Pa! There's a Goat on the Roof"" or ""Poleconomy""",Hey Pa! There's a Goat on the Roof,hey pa there s goat on roof,1.0,SUCCESS,True,True,True
hotpot_5a8595a85542992a431d1b48,Where was the music festival Billy McFarland was charged with wire fraud for sup,Great Exuma,great exuma,1.0,SUCCESS,True,True,True
hotpot_5a7fb7985542994857a767d2,Which retired Argentine footballer who played as a forward was a main player for,Claudio Javier López,claudio lópez,0.8,SUCCESS,True,True,True
hotpot_5ae73d235542991e8301cc29,What production company co-owned by Kevin Loader and Rodger Michell produced My ,Free Range Films,free range films,1.0,SUCCESS,True,True,True
hotpot_5ab47cd75542991751b4d78d,"In which year did this division, where Cleveland Browns placed fourth in 2009, a",2002,2002,1.0,SUCCESS,True,True,False
hotpot_5a8efb5a55429918e830d172,What country is the member of Gujarat Legislative Assembly and parliament repres,Jamnagar,india,0.0,G1_confabulation,True,True,True
hotpot_5a7ae2f2554299042af8f6aa,"Which sport has been played at the BayArena in Leverkusen, Germany, since 1958?",football,football,1.0,SUCCESS,True,True,True
hotpot_5a7b88b45542997c3ec97201,Which of Damon Stoudamire's cousins once played college basketball for the Unive,Terrence Jones,salim stoudamire,0.0,G1_confabulation,False,True,True
hotpot_5a8f7a135542992414482adc,"In relation to Rome, where was the city whose king was the father of Ocnus?  ",12 mi southeast of Rome,southeast of rome,0.75,SUCCESS,True,True,True
hotpot_5ae554ce55429960a22e02b7," ""I Will Not Say Goodbye"" is a song written in part by a music artist who first ",You Can Be a Star,you can be star,1.0,SUCCESS,True,True,True
hotpot_5ac07327554299012d1db5f2,Who is Colin Kaepernick and what is his preferred nickname?,an American football quarterback,kap,0.0,G1_confabulation,True,True,True
hotpot_5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,tennis,tennis,1.0,SUCCESS,True,True,True
hotpot_5ae61e7555429929b0807adf,Renzo Gracie has a victory over the UFC champion who was one of the pioneers of ,MMA,ufc,0.0,G1_confabulation,False,True,True
hotpot_5ac289ff5542996366519a02,Is the Marsilea or the Brabejum the genus of more individual species of plants?,Marsilea,marsilea,1.0,SUCCESS,True,True,True
hotpot_5ac0b1835542992a796ded65,"Bordan Tkachuk was the former CEO of which company, which provides IT products?",Viglen,viglen,1.0,SUCCESS,True,True,True
hotpot_5ae40b2b55429970de88d8b3,In between  Polytechnic University of the Philippines and California Polytechnic,California Polytechnic State University,california polytechnic state university,1.0,SUCCESS,True,True,True
hotpot_5ae7e8f55542994a481bbe06,Which fictional MI6 agent is a fictional character created by the British journa,Commander James Bond RN,james bond,0.667,SUCCESS,True,True,True
hotpot_5a8dfae55542995085b3736b,Cranium and Twin Tin Bots are both what?,games,board game,0.0,G1_confabulation,True,True,True
hotpot_5adf4b335542993a75d264a5,Paul DeBoy is known for an appearance in the Western action-adventure game devel,Rockstar San Diego,rockstar san diego,1.0,SUCCESS,True,True,True
hotpot_5a78d16455429974737f78bb,"Between two scientists Ernst Messerschmid and Philippe Perrin, who is older?",Ernst Willi Messerschmid,ernst messerschmid,0.8,SUCCESS,True,True,True
hotpot_5abd920e55429924427fd05d,Were both Peter Duffell and Fred Niblo actors?,yes,no,0.0,S2_selection_chunk_miss,True,True,False
hotpot_5ab67d2055429954757d3304,"Which is a type of gun dog, the Labrador Retriever or the Tibetan Terrier?",Labrador Retriever,labrador retriever,1.0,SUCCESS,True,True,True
hotpot_5ae5db98554299546bf82fa6,Shane and Friends have interviewed an American YouTube personality who has two a,1.7 billion,1 7 billion,1.0,SUCCESS,True,True,True
hotpot_5ae0613d5542993d6555eb22,Castle Hill is a plantation near what primary residence of Thomas Jefferson?,Monticello,monticello,1.0,SUCCESS,True,True,True
hotpot_5ae6233c5542992ae0d1623e,What was Thomas Boutflower Bennet's role at The Collegiate School of St Peter?,schoolmaster at J. L. Young's Adelaide Educational Institution and at Saint Peter's College.,teacher,0.0,G1_confabulation,True,True,True
hotpot_5ae5d008554299546bf82f7d,The 2015 CrossFit Games were held at what multiple-use sports complex that is ap,StubHub Center,stubhub center,1.0,SUCCESS,True,True,True
hotpot_5a8ba3ff55429971feec4744,Stokely Webster has paintings can be found at the official residence of whom?,Mayor of the City of New York,president of united states,0.2,G2_reasoning_error,True,True,True
hotpot_5adc5b875542996e68525328,In which St. Louis Cardinal season did a player born in 1972 blow ten saves befo,2006 season,2006,0.667,SUCCESS,False,True,True
hotpot_5a7319e755429901807daf86,Which NCAA record does the quarterback of the Minnesota Vikings hold?,most total touchdowns in NCAA history,case keenum,0.0,S2_selection_chunk_miss,False,True,False
hotpot_5a7d61775542991319bc93b9,"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-",Lord Combermere,sir arthur wellesley,0.0,G1_confabulation,True,True,True
hotpot_5a7730015542994aec3b7210,"Which TV series, written by the creators of Robocalypse, is set in Bikini Bottom",SpongeBob SquarePants,i don t know,0.0,G3_abstention,True,True,True
hotpot_5a83d7535542993344746093,What other teams played in the same division that Chad Clements played in?,"Los Angeles Xtreme, San Francisco Demons and Memphis Maniax",denver broncos,0.0,S2_selection_chunk_miss,False,True,False
hotpot_5a84574455429933447460e6,"In what year was the Golden State NBA player, who was part of the Cavaliers-Warr",2015,2015,1.0,SUCCESS,True,True,False
hotpot_5ac2583b55429951e9e68565,"Who has more scope of profession, Brian G. Hutton or Xawery Żuławski?",Xawery Żuławski,i don t know,0.0,G3_abstention,True,True,True
hotpot_5a843cf35542996488c2e51b,What industry did both William Todd Field and Zoltan Korda work in?,film,film industry,0.667,SUCCESS,True,True,True
hotpot_5ac41b9e5542995c82c4acc4,what species of plants are Chamelaucium and Vanilla derived from?,flowers,myrtaceae and orchidaceae,0.0,G1_confabulation,True,True,True
hotpot_5a75b7bd5542992d0ec05fec,Harold Brent Wallis as producer and Humphrey Bogart as actor collaborated to mak,Casablanca,casablanca,1.0,SUCCESS,True,True,True
hotpot_5add433b5542997545bbbd02,What novel imagines the true story of a character based on a novel by Mark Twain,Shohola Falls,shohola falls,1.0,SUCCESS,True,True,True
hotpot_5ade881f5542992fa25da7af,"Heinrich Scholz was a peer of what English computer scientist, mathematician, lo",Alan Mathison Turing,alan turing,0.8,SUCCESS,True,True,True
hotpot_5a82e25555429954d2e2ebbf,Which author dedicated a 1985 romance novel to the author who did in 2009 and wr,Eva Ibbotson,jane feather,0.0,G1_confabulation,False,True,True
hotpot_5adff056554299603e4183cc,What year did The Chronicle of Philanthropy's publishing overlap with Antic?,1988,1988 1990,0.667,SUCCESS,True,True,False
hotpot_5ae5a8435542992663a4f208,What is the nationality of the scientist who invented in Tribometer?,Dutch,dutch,1.0,SUCCESS,False,True,True
hotpot_5a84995d5542997b5ce3fee4,Cooperative Living Organization is located in a city that is the county seat of ,Alachua,alachua county,0.667,SUCCESS,True,True,True
hotpot_5a806e01554299485f5985e5,Who starred in the 1991 American action comedy film The Hard Way and was feature,Mos Def,michael j fox,0.0,G1_confabulation,False,True,True
hotpot_5a8f45385542997ba9cb320a,Dahlia and Aruncus are both examples of what type of plant catagorization?,genus,herbaceous perennial,0.0,G1_confabulation,True,True,True
hotpot_5ab5ee055542997d4ad1f259,"What sport does America's first openly gay, actively playing, professional team ",soccer,soccer,1.0,SUCCESS,True,True,True
hotpot_5a7293655542991f9a20c4ff,What 1996 book was written by the founder of Media Matter for America?,The Seduction of Hillary Rodham,between hope and history,0.0,S2_selection_chunk_miss,False,True,False
hotpot_5abd74c95542993062266ca2,Who does the current PFA Young Player of the Year currently play for?,Premier League club,tottenham hotspur,0.0,G1_confabulation,True,True,True
hotpot_5adcca7f5542994ed6169c06,"In what year was the drummer from the album ""Angel of Retribution"" born?",1961,1961,1.0,SUCCESS,False,True,False
hotpot_5a78ce5d55429974737f78ac,The southernmost administrative region of Denmark is well-known for creating wha,beer and soft drinks,beer and soft drinks,1.0,SUCCESS,True,True,True
hotpot_5ab809bb5542990e739ec7f9,Name a movie that David Thewlis has performed in after the premiere of Fargo?,Anomalisa,endless love,0.0,G1_confabulation,True,True,True
hotpot_5a77d4eb55429949eeb29f74,"Who was born first, Yanka Dyagileva or Alexander Bashlachev?",Alexander Nickolaevich Bashlachev,alexander bashlachev,0.8,SUCCESS,True,True,True
hotpot_5a77afcd5542997042120adf,Who is older Carrie Akre or Shifty Shellshock?,Carrie Akre,carrie akre,1.0,SUCCESS,True,True,True
hotpot_5a77c09555429967ab105262,"What is the species of animal which the town of Antelope, Kansas was named after",Antilocapra americana,pronghorn,0.0,G1_confabulation,True,True,True
hotpot_5a82accd55429966c78a6a78,Are the Barton Mine and Hermiston-McCauley Mine located in The United States of ,no,no,1.0,SUCCESS,True,True,False
