query_id,query,gold_ans,pred,f1,fail_class,bridge_complete,gold_in_selected,gold_text_in_sel
2wiki_3733d61a0bde11eba7f7acde48001122,What nationality is the director of film 3096 Days?,American,german american,0.667,SUCCESS,True,True,True
2wiki_cd791c8a0bdd11eba7f7acde48001122,Where did Nesrin Kadın's husband die?,Constantinople,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_676d16800bb011ebab90acde48001122,"Who is the paternal grandfather of Waldemar V, Prince Of Anhalt-Köthen?","John II, Prince of Anhalt-Zerbst",i don t know,0.0,G3_abstention,True,True,True
2wiki_0163c021087511ebbd67ac1f6bf848b6,"Which film has the director who was born later, Je Suis Né D'Une Cigogne or The ",Je Suis Né D'Une Cigogne,je suis né d une cigogne,1.0,SUCCESS,False,True,True
2wiki_fb6ff1e20bdb11eba7f7acde48001122,Where was the place of death of the director of film Happy Go Lucky (1936 Film)?,Los Angeles,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_24e2e9900bdb11eba7f7acde48001122,Which country the director of film The Notebooks Of Memory is from?,French,i don t know,0.0,G3_abstention,False,True,True
2wiki_49e5edb60bde11eba7f7acde48001122,What nationality is the director of film Beauty No. 1?,American,i don t know,0.0,G3_abstention,False,True,True
2wiki_9a895430085d11ebbd5cac1f6bf848b6,"Who was born later, Gică Petrescu or Janga Augustus Kowo?",Janga Augustus Kowo,janga augustus kowo,1.0,SUCCESS,True,True,True
2wiki_9078fcca0baf11ebab90acde48001122,Who is the paternal grandmother of Beatrice Of England?,Isabella of Angoulême,eleanor of provence,0.333,G2_reasoning_error,False,True,True
2wiki_4725cf020bdd11eba7f7acde48001122,What nationality is the director of film The Hot Angel?,South Africa,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_00fc38720bb011ebab90acde48001122,Who is Maquiztzin's sibling-in-law?,Chimalpopoca,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_fe105e54089411ebbd75ac1f6bf848b6,"Which film was released more recently, The Vein or Now Barabbas?",Now Barabbas,now barabbas,1.0,SUCCESS,True,True,True
2wiki_6b6abb6808a211ebbd7aac1f6bf848b6,"Which film has the director who died earlier, Ma And Pa Kettle Go To Town or Mal",Ma And Pa Kettle Go To Town,ma and pa kettle go to town,1.0,SUCCESS,False,True,True
2wiki_2b75986e0bdd11eba7f7acde48001122,Where was the place of burial of Zeenat Mahal's husband?,Rangoon,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_a017f1cc08c611ebbd90ac1f6bf848b6,"Which film has the director who died first, Panic On The Air or Devil And The De",Panic On The Air,tod browning,0.0,G1_confabulation,False,True,True
2wiki_15d1f2ea0bde11eba7f7acde48001122,Who is the spouse of the director of film Dharam Karam?,Babita,jaya sreedhar rajan,0.0,G1_confabulation,True,True,True
2wiki_0cc584100bb011ebab90acde48001122,Who is the father-in-law of Aemilia Tertia?,Publius Cornelius Scipio,scipio africanus,0.4,G2_reasoning_error,False,True,True
2wiki_db12b3760bdb11eba7f7acde48001122,What is the date of death of the director of film Stefanie In Rio?,22 February 1981,i don t know,0.0,G3_abstention,False,True,True
2wiki_26b866e6085c11ebbd5cac1f6bf848b6,"Which film has the director born later, Jesse James' Women or Ride Lonesome?",Ride Lonesome,ride lonesome,1.0,SUCCESS,False,True,True
2wiki_bca63162091511ebbdaeac1f6bf848b6,"Which film was released first, Once At Midnight or Lady In The Death House?",Once At Midnight,once at midnight,1.0,SUCCESS,True,True,True
2wiki_a24aace908ab11ebbd82ac1f6bf848b6,"Who lived longer, John-Roger Hinkins or Charles Harpur?",John-Roger Hinkins,john roger hinkins,1.0,SUCCESS,True,True,True
