seed,chunk_size,selector,recall@1,answer_f1,gold_pair_coverage
0,50,greedy,0.075,0.02401515151515152,0.35833333333333334
0,50,anti_kt,0.075,0.02401515151515152,0.35833333333333334
0,50,mmr,0.075,0.014510582010582012,0.008333333333333333
0,63,greedy,0.1,0.026020923520923517,0.65
0,63,anti_kt,0.1,0.026020923520923517,0.65
0,63,mmr,0.1,0.0102744708994709,0.016666666666666666
0,76,greedy,0.10833333333333334,0.02384929884929885,0.43333333333333335
0,76,anti_kt,0.10833333333333334,0.02384929884929885,0.43333333333333335
0,76,mmr,0.10833333333333334,0.011925111925111925,0.016666666666666666
0,89,greedy,0.15833333333333333,0.05349190161690163,0.9083333333333333
0,89,anti_kt,0.15833333333333333,0.05349190161690163,0.9083333333333333
0,89,mmr,0.15833333333333333,0.007804232804232804,0.016666666666666666
0,103,greedy,0.14166666666666666,0.031478937728937735,0.95
0,103,anti_kt,0.14166666666666666,0.031478937728937735,0.95
0,103,mmr,0.14166666666666666,0.004232804232804233,0.016666666666666666
0,116,greedy,0.08333333333333333,0.02328153328153328,0.85
0,116,anti_kt,0.08333333333333333,0.02328153328153328,0.85
0,116,mmr,0.08333333333333333,0.006084656084656085,0.0
0,129,greedy,0.09166666666666666,0.01542124542124542,0.6833333333333333
0,129,anti_kt,0.09166666666666666,0.01542124542124542,0.6833333333333333
0,129,mmr,0.09166666666666666,0.00868945868945869,0.008333333333333333
0,142,greedy,0.06666666666666667,0.01396062271062271,0.5166666666666667
0,142,anti_kt,0.06666666666666667,0.01396062271062271,0.5166666666666667
0,142,mmr,0.06666666666666667,0.0083994708994709,0.008333333333333333
0,155,greedy,0.09166666666666666,0.01939171939171939,0.44166666666666665
0,155,anti_kt,0.09166666666666666,0.01939171939171939,0.44166666666666665
0,155,mmr,0.09166666666666666,0.0031339031339031338,0.008333333333333333
0,168,greedy,0.06666666666666667,0.01122932622932623,0.43333333333333335
0,168,anti_kt,0.06666666666666667,0.01122932622932623,0.43333333333333335
0,168,mmr,0.06666666666666667,0.0031339031339031338,0.0
0,182,greedy,0.05,0.01122932622932623,0.45
