chunk_size,selector,recall@1,recall@5,answer_em,answer_f1,gold_pair_coverage
60,greedy,0.1,0.43333333333333335,0.0,0.01111111111111111,0.5333333333333333
60,mmr,0.1,0.43333333333333335,0.0,0.005555555555555555,0.03333333333333333
60,anti_kt,0.1,0.43333333333333335,0.0,0.0575998075998076,0.5333333333333333
90,greedy,0.16666666666666666,0.5333333333333333,0.0,0.05481481481481482,0.8666666666666667
90,mmr,0.16666666666666666,0.5333333333333333,0.0,0.02814814814814815,0.06666666666666667
90,anti_kt,0.16666666666666666,0.5333333333333333,0.0,0.0775058275058275,0.8666666666666667
120,greedy,0.16666666666666666,0.23333333333333334,0.0,0.02,0.6666666666666666
120,mmr,0.16666666666666666,0.23333333333333334,0.0,0.0,0.0
120,anti_kt,0.16666666666666666,0.23333333333333334,0.0,0.033862433862433865,0.7
150,greedy,0.03333333333333333,0.1,0.0,0.0,0.5
150,mmr,0.03333333333333333,0.1,0.0,0.0,0.0
150,anti_kt,0.03333333333333333,0.1,0.0,0.0,0.7333333333333333
180,greedy,0.06666666666666667,0.23333333333333334,0.0,0.007407407407407408,0.7
180,mmr,0.06666666666666667,0.23333333333333334,0.0,0.0,0.03333333333333333
180,anti_kt,0.06666666666666667,0.23333333333333334,0.0,0.0,0.6666666666666666
240,greedy,0.06666666666666667,0.23333333333333334,0.0,0.007407407407407408,0.7
240,mmr,0.06666666666666667,0.23333333333333334,0.0,0.0,0.03333333333333333
240,anti_kt,0.06666666666666667,0.23333333333333334,0.0,0.0,0.6666666666666666
